[INFO ] 2021-05-09 15:23:35,130 Main.doMain() - Valid execution mode 'gui' for VISAB detected
[INFO ] 2021-05-09 15:23:35,132 Main.doMain() - Starting VISAB as a GUI application.
[DEBUG] 2021-05-09 15:24:32,961 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 103 entries now.
[DEBUG] 2021-05-09 15:24:33,063 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 104 entries now.
[DEBUG] 2021-05-09 15:24:33,164 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 105 entries now.
[DEBUG] 2021-05-09 15:24:33,267 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 106 entries now.
[DEBUG] 2021-05-09 15:24:33,369 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 107 entries now.
[DEBUG] 2021-05-09 15:24:33,470 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 108 entries now.
[DEBUG] 2021-05-09 15:24:33,572 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 109 entries now.
[DEBUG] 2021-05-09 15:24:33,674 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 110 entries now.
[DEBUG] 2021-05-09 15:24:33,776 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 111 entries now.
[DEBUG] 2021-05-09 15:24:33,876 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 112 entries now.
[DEBUG] 2021-05-09 15:24:33,978 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 113 entries now.
[DEBUG] 2021-05-09 15:24:34,080 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 114 entries now.
[DEBUG] 2021-05-09 15:24:34,181 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 115 entries now.
[DEBUG] 2021-05-09 15:24:34,282 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 116 entries now.
[DEBUG] 2021-05-09 15:24:34,385 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 117 entries now.
[DEBUG] 2021-05-09 15:24:34,485 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 118 entries now.
[DEBUG] 2021-05-09 15:24:34,587 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 119 entries now.
[DEBUG] 2021-05-09 15:24:34,689 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 120 entries now.
[DEBUG] 2021-05-09 15:24:34,791 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 121 entries now.
[DEBUG] 2021-05-09 15:24:34,892 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 122 entries now.
[DEBUG] 2021-05-09 15:24:34,994 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 123 entries now.
[DEBUG] 2021-05-09 15:24:35,096 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 124 entries now.
[DEBUG] 2021-05-09 15:24:35,198 CBRShooterListener.processStatistics() - [Game: CBRShooter, SessionId: 07ce97c0-4b50-42c6-8de5-c63363ee5559] has 125 entries now.
